studyId,pmid
acbc_mskcc_2015,26095796
acc_2019,31483290
acc_tcga_pan_can_atlas_2018,29596782
acc_tcga_pan_can_atlas_2018,29617662
acc_tcga_pan_can_atlas_2018,29622463
acc_tcga_pan_can_atlas_2018,29625048
acc_tcga_pan_can_atlas_2018,29625049
acc_tcga_pan_can_atlas_2018,29625050
acc_tcga_pan_can_atlas_2018,29625055
acc_tcga_pan_can_atlas_2018,29850653
acc_tcga_pan_can_atlas_2018,32214244
acc_tcga_pan_can_atlas_2018,36334560
acyc_fmi_2014,24418857
acyc_jhu_2016,26862087
acyc_mda_2015,26631609
acyc_mgh_2016,26829750
acyc_mskcc_2013,23685749
acyc_sanger_2013,23778141
all_stjude_2013,23334668
all_stjude_2015,25730765
all_stjude_2016,27776115
aml_ohsu_2018,30333627
aml_ohsu_2022,35868306
aml_stjude_2024,38212634
ampca_bcm_2016,26804919
angs_project_painter_2018,32042194
appendiceal_msk_2022,36493333
asclc_msk_2024,39185963
bcc_unige_2016,26950094
bfn_duke_nus_2015,26437033
biliary_tract_msk_2026,42360806
bladder_columbia_msk_2018,29625057
bladder_msk_2023,37682528
bladder_msk_2024,39550333
blca_bcan_hcrn_2022,36333289
blca_bgi,24121792
blca_cornell_2016,27749842
blca_dfarber_mskcc_2014,25096233
blca_iatlas_imvigor210_2017,27939400
blca_iatlas_imvigor210_2017,39642637
blca_msk_2024,39499893
blca_msk_2025,40256659
blca_msk_tcga_2020,30290956
blca_mskcc_solit_2012,23897969
blca_mskcc_solit_2014,25092538
blca_nmibc_2017,28583311
blca_plasmacytoid_mskcc_2016,26901067
blca_tcga_pan_can_atlas_2018,29596782
blca_tcga_pan_can_atlas_2018,29617662
blca_tcga_pan_can_atlas_2018,29622463
blca_tcga_pan_can_atlas_2018,29625048
blca_tcga_pan_can_atlas_2018,29625049
blca_tcga_pan_can_atlas_2018,29625050
blca_tcga_pan_can_atlas_2018,29625055
blca_tcga_pan_can_atlas_2018,29850653
blca_tcga_pan_can_atlas_2018,32214244
blca_tcga_pan_can_atlas_2018,36334560
blca_tcga_pub,24476821
blca_tcga_pub_2017,28988769
bm_nsclc_mskcc_2023,37591896
bowel_colitis_msk_2022,36611031
braf_msk_archer_2024,38922339
braf_msk_impact_2024,38922339
brain_cptac_2020,33242424
brca_aurora_2023,36585450
brca_bccrc,22495314
brca_bccrc_xenograft_2014,25470049
brca_broad,22722202
brca_cptac_2020,33212010
brca_dfci_2020,32404308
brca_dldccc_2022,36001024
brca_fuscc_2020,32719455
brca_iatlas_anders_2022,35121644
brca_igr_2015,28027327
brca_jup_msk_2020,33263939
brca_mapk_hp_msk_2021,34795269
brca_metabric,22522925
brca_metabric,27161491
brca_metabric,30867590
brca_mskcc_2019,31552290
brca_pareja_msk_2020,32220886
brca_sanger,22722201
brca_smc_2018,29713003
brca_tcga_pan_can_atlas_2018,29596782
brca_tcga_pan_can_atlas_2018,29617662
brca_tcga_pan_can_atlas_2018,29622463
brca_tcga_pan_can_atlas_2018,29625048
brca_tcga_pan_can_atlas_2018,29625049
brca_tcga_pan_can_atlas_2018,29625050
brca_tcga_pan_can_atlas_2018,29625055
brca_tcga_pan_can_atlas_2018,29850653
brca_tcga_pan_can_atlas_2018,30643250
brca_tcga_pan_can_atlas_2018,32214244
brca_tcga_pan_can_atlas_2018,36334560
brca_tcga_pub,23000897
brca_tcga_pub2015,26451490
breast_alpelisib_2020,32864625
breast_ink4_msk_2021,34544752
breast_msk_2018,30205045
breast_msk_2025,40379787
ccle_broad_2019,31068700
ccle_broad_2019,31978347
ccle_broad_2025,39468210
ccle_genentech_2014,25485619
ccrcc_dfci_2019,29301960
ccrcc_iatlas_choueiri_2016,27169994
ccrcc_irc_2014,24487277
ccrcc_sjuh_2023,36815791
