old_pmid,new_pmid,pmcid,doi,year,journal,title,title_match,false_study_ids,datasets_dropped,datasets_kept
21909114,40720765,PMC12550706,10.1182/bloodadvances.2025016897,2025,Blood advances,Somatic mutations in STAG2 are associated with separated megakaryocyte nuclear lobes in myelodysplastic syndromes,1.0,mds_tokyo_2011,mds_tokyo_2011,
22037554,41049615,PMC12489181,10.34133/research.0908,2025,"Research (Washington, D.C.)",ARID1A Governs Genomic Stability and Proliferation in SCLC via c-MYC/PARP1 Suppression Driving Vulnerability to BET Inhibitors,1.0,stad_uhongkong,,
22138691,40834854,PMC12432380,10.1016/j.xcrm.2025.102299,2025,Cell reports. Medicine,AI-driven multimodal algorithm predicts immunotherapy and targeted therapy outcomes in clear cell renal cell carcinoma,1.0,kirc_bgi,,
22158541,41055979,PMC12541443,10.1073/pnas.2505374122,2025,Proceedings of the National Academy of Sciences of the United States of America,Distinct and convergent effects of SF3B1 mutations in human breast cancer,1.0,cllsll_icgc_2011,,
22367537,41063451,PMC12508281,10.1002/jev2.70177,2025,Journal of extracellular vesicles,Novel Strategy for Acquiring Metabolically-Tagged Nascent Extracellular Vesicles: Implications for Identifying Surface Protein Markers of Extracellular Vesicles From Neuroblastoma Cells Cultured With Native Serum,1.0,nbl_amc_2012,nbl_amc_2012,
22634756,41112515,PMC12529571,10.1016/j.livres.2025.09.002,2025,"Liver research (Beijing, China)",Hepatitis B virus integration and hepatocarcinogenesis,1.0,lihc_riken,lihc_riken,
23797736,41102155,PMC12533196,10.1038/s41467-025-64214-3,2025,Nature communications,HIFα isoform specific activities drive cell-type specificity of VHL-associated oncogenesis,1.0,ccrcc_utokyo_2013,ccrcc_utokyo_2013,
24418857,39760648,PMC11834963,10.1097/PAS.0000000000002349,2025,The American journal of surgical pathology,Molecular Profiling of Sinonasal Adenoid Cystic Carcinoma: Canonical and Noncanonical Gene Fusions and Mutation,1.0,acyc_fmi_2014,,
24670651,41096729,PMC12524419,10.3390/ijms26199457,2025,International journal of molecular sciences,Exploring the Diagnostic and Predictive Value of Oral Microbiome in Esophageal Cancer: A Systematic Review and Meta-Analysis,1.0,escc_icgc,,
24735922,25369299,PMC12261305,10.1055/s-0034-1394137,2014,Seminars in liver disease,Molecular profiling of liver tumors: classification and clinical translation for decision making,1.0,liad_inserm_fr_2014,,
24798001,30061739,PMC12452113,10.1038/s41571-018-0073-4,2018,Nature reviews. Clinical oncology,Molecular therapies and precision medicine for hepatocellular carcinoma,1.0,lihc_amc_prv,lihc_amc_prv,
24816253,41002403,PMC12468435,10.3390/cells14181439,2025,Cells,Divergent Morphologies and Common Signaling Features of Active and Inactive Oncogenic RHOA Mutants in Yeast,1.0,stad_pfizer_uhongkong,,
24816255,41097736,PMC12523349,10.3390/cancers17193209,2025,Cancers,"Familial Non-Hereditary Gastric Cancer: Diagnosis, Management, Molecular Characteristics and Future Perspective",1.0,stad_utokyo,,
24952746,41002550,PMC12468275,10.3390/curroncol32090479,2025,"Current oncology (Toronto, Ont.)",Novel Therapeutic Development for Nasopharyngeal Carcinoma,1.0,npc_nusingapore,,
